Date,RBA
2023-09-07,123.30000305175781
2023-09-08,122.0
2023-09-11,122.4000015258789
2023-09-12,116.1500015258789
2023-09-13,119.0
2023-09-14,120.30000305175781
2023-09-15,128.35000610351562
2023-09-18,124.1500015258789
2023-09-20,125.05000305175781
2023-09-21,124.5999984741211
2023-09-22,123.55000305175781
2023-09-25,121.5
2023-09-26,123.5
2023-09-27,127.80000305175781
2023-09-28,123.4000015258789
2023-09-29,124.69999694824219
2023-10-03,124.75
2023-10-04,122.69999694824219
2023-10-05,128.5500030517578
2023-10-06,125.19999694824219
2023-10-09,122.80000305175781
2023-10-10,124.30000305175781
2023-10-11,124.75
2023-10-12,124.8499984741211
2023-10-13,122.8499984741211
2023-10-16,122.5
2023-10-17,122.4000015258789
2023-10-18,120.4000015258789
2023-10-19,121.9000015258789
2023-10-20,119.3499984741211
2023-10-23,114.55000305175781
2023-10-25,112.80000305175781
2023-10-26,113.0
2023-10-27,113.55000305175781
2023-10-30,110.75
2023-10-31,111.44999694824219
2023-11-01,112.1500015258789
2023-11-02,112.0999984741211
2023-11-03,113.0999984741211
2023-11-06,116.4000015258789
2023-11-07,118.1500015258789
2023-11-08,114.0999984741211
2023-11-09,113.5
2023-11-10,113.94999694824219
2023-11-13,115.5999984741211
2023-11-15,116.5
2023-11-16,117.1500015258789
2023-11-17,115.0999984741211
2023-11-20,114.05000305175781
2023-11-21,113.8499984741211
2023-11-22,111.94999694824219
2023-11-23,112.1500015258789
2023-11-24,115.5999984741211
2023-11-28,113.80000305175781
2023-11-29,111.75
2023-11-30,116.25
2023-12-01,114.19999694824219
2023-12-04,114.5999984741211
2023-12-05,115.5999984741211
2023-12-06,115.55000305175781
2023-12-07,115.0
2023-12-08,116.80000305175781
2023-12-11,117.75
2023-12-12,115.19999694824219
2023-12-13,114.94999694824219
2023-12-14,114.55000305175781
2023-12-15,113.1500015258789
2023-12-18,112.69999694824219
2023-12-19,112.19999694824219
2023-12-20,110.1500015258789
2023-12-21,111.05000305175781
2023-12-22,110.1500015258789
2023-12-26,111.4000015258789
2023-12-27,110.1500015258789
2023-12-28,111.19999694824219
2023-12-29,111.80000305175781
2024-01-01,115.05000305175781
2024-01-02,113.44999694824219
2024-01-03,113.94999694824219
2024-01-04,113.4000015258789
2024-01-05,113.44999694824219
2024-01-08,116.30000305175781
2024-01-09,114.5999984741211
2024-01-10,116.5999984741211
2024-01-11,123.4000015258789
2024-01-12,125.55000305175781
2024-01-15,125.55000305175781
2024-01-16,127.30000305175781
2024-01-17,122.0
2024-01-18,121.94999694824219
2024-01-19,121.8499984741211
2024-01-23,123.25
2024-01-24,120.94999694824219
2024-01-25,117.55000305175781
2024-01-29,114.19999694824219
2024-01-30,117.0999984741211
2024-01-31,118.44999694824219
2024-02-01,117.19999694824219
2024-02-02,116.0
2024-02-05,113.30000305175781
2024-02-06,113.4000015258789
2024-02-07,116.25
2024-02-08,114.44999694824219
2024-02-09,113.75
2024-02-12,108.1500015258789
2024-02-13,105.4000015258789
2024-02-14,105.0999984741211
2024-02-15,108.19999694824219
2024-02-16,116.3499984741211
2024-02-19,113.9000015258789
2024-02-20,111.9000015258789
2024-02-21,110.0999984741211
2024-02-22,108.69999694824219
2024-02-23,108.19999694824219
2024-02-26,109.4000015258789
2024-02-27,110.69999694824219
2024-02-28,106.9000015258789
2024-02-29,107.1500015258789
2024-03-01,108.25
2024-03-04,108.55000305175781
2024-03-05,106.19999694824219
2024-03-06,103.75
2024-03-07,103.9000015258789
2024-03-11,103.69999694824219
2024-03-12,101.0
2024-03-13,101.9000015258789
2024-03-14,104.55000305175781
2024-03-15,105.80000305175781
2024-03-18,104.0999984741211
2024-03-19,104.30000305175781
2024-03-20,105.5
2024-03-21,105.44999694824219
2024-03-22,105.44999694824219
2024-03-26,102.05000305175781
2024-03-27,101.69999694824219
2024-03-28,101.25
2024-04-01,103.44999694824219
2024-04-02,104.1500015258789
2024-04-03,106.30000305175781
2024-04-04,104.75
2024-04-05,105.44999694824219
2024-04-08,103.0999984741211
2024-04-09,100.69999694824219
2024-04-10,100.0999984741211
2024-04-12,99.25
2024-04-15,97.1500015258789
2024-04-16,95.75
2024-04-18,98.5999984741211
2024-04-19,100.0
2024-04-22,98.75
2024-04-23,101.0
2024-04-24,100.69999694824219
2024-04-25,101.9000015258789
2024-04-26,101.44999694824219
2024-04-29,99.94999694824219
2024-04-30,99.9000015258789
2024-05-02,100.19999694824219
2024-05-03,105.0999984741211
2024-05-06,103.8499984741211
2024-05-07,102.5
2024-05-08,101.94999694824219
2024-05-09,98.5999984741211
2024-05-10,102.75
2024-05-13,102.9000015258789
2024-05-14,104.0
2024-05-15,103.0
2024-05-16,102.8499984741211
2024-05-17,105.9000015258789
2024-05-21,104.05000305175781
2024-05-22,103.25
2024-05-23,102.6500015258789
2024-05-24,101.05000305175781
2024-05-27,103.4000015258789
2024-05-28,100.9000015258789
2024-05-29,100.4000015258789
2024-05-30,98.30000305175781
2024-05-31,102.19999694824219
2024-06-03,100.8499984741211
2024-06-04,96.94999694824219
2024-06-05,101.80000305175781
2024-06-06,107.25
2024-06-07,111.4000015258789
2024-06-10,112.80999755859375
2024-06-11,111.9800033569336
2024-06-12,109.25
2024-06-13,106.87999725341797
2024-06-14,111.12999725341797
2024-06-18,108.30999755859375
2024-06-19,107.87999725341797
2024-06-20,106.45999908447266
2024-06-21,107.54000091552734
2024-06-24,105.68000030517578
2024-06-25,104.4000015258789
2024-06-26,105.0
2024-06-27,102.25
2024-06-28,99.37999725341797
2024-07-01,102.69000244140625
2024-07-02,102.20999908447266
2024-07-03,107.30999755859375
2024-07-04,108.51000213623047
2024-07-05,113.52999877929688
2024-07-08,116.1500015258789
2024-07-09,113.87000274658203
2024-07-10,113.86000061035156
2024-07-11,115.52999877929688
2024-07-12,115.23999786376953
2024-07-15,112.38999938964844
2024-07-16,111.31999969482422
2024-07-18,112.25
2024-07-19,108.93000030517578
2024-07-22,106.4000015258789
2024-07-23,106.79000091552734
2024-07-24,107.87000274658203
2024-07-25,106.83000183105469
2024-07-26,108.54000091552734
2024-07-29,110.06999969482422
2024-07-30,110.48999786376953
2024-07-31,108.0
2024-08-01,110.80999755859375
2024-08-02,111.5999984741211
2024-08-05,107.41000366210938
2024-08-06,110.33000183105469
2024-08-07,108.44999694824219
2024-08-08,106.26000213623047
2024-08-09,106.5999984741211
2024-08-12,106.66999816894531
2024-08-13,106.58000183105469
2024-08-14,106.73999786376953
