Date,SIS
2019-07-23,404.81829833984375
2019-07-24,436.3337097167969
2019-07-25,439.6292724609375
2019-07-26,419.00146484375
2019-07-29,419.6361389160156
2019-07-30,420.2464599609375
2019-07-31,407.4059143066406
2019-08-01,402.8897705078125
2019-08-02,402.3038635253906
2019-08-05,400.8147888183594
2019-08-06,402.6212463378906
2019-08-07,402.6212463378906
2019-08-08,391.4651184082031
2019-08-09,396.0788879394531
2019-08-13,398.4468078613281
2019-08-14,392.3927307128906
2019-08-16,395.6394958496094
2019-08-19,398.1539001464844
2019-08-20,394.4433288574219
2019-08-21,388.7065734863281
2019-08-22,387.0954284667969
2019-08-23,386.558349609375
2019-08-26,384.70306396484375
2019-08-27,373.3760986328125
2019-08-28,374.6698913574219
2019-08-29,367.8102111816406
2019-08-30,369.8119812011719
2019-09-03,371.4719543457031
2019-09-04,371.54522705078125
2019-09-05,372.7657775878906
2019-09-06,380.8948974609375
2019-09-09,391.2453918457031
2019-09-11,394.2724304199219
2019-09-12,388.0963134765625
2019-09-13,410.9700012207031
2019-09-16,440.1175231933594
2019-09-17,419.6605529785156
2019-09-18,414.50970458984375
2019-09-19,412.9717712402344
2019-09-20,415.0955810546875
2019-09-23,427.7896423339844
2019-09-24,421.418212890625
2019-09-25,424.39642333984375
2019-09-26,417.02410888671875
2019-09-27,412.6544189453125
2019-09-30,429.4496154785156
2019-10-01,420.7834777832031
2019-10-03,415.9499816894531
2019-10-04,420.2464599609375
2019-10-07,415.1444091796875
2019-10-09,416.487060546875
2019-10-10,409.57855224609375
2019-10-11,419.8558349609375
2019-10-14,415.5594177246094
2019-10-15,429.8157653808594
2019-10-16,433.7216491699219
2019-10-17,438.2134094238281
2019-10-18,437.0172119140625
2019-10-22,450.29718017578125
2019-10-23,454.3494873046875
2019-10-24,459.96417236328125
2019-10-25,423.95697021484375
2019-10-27,434.38079833984375
2019-10-29,448.1245422363281
2019-10-30,450.4436340332031
2019-10-31,446.39129638671875
2019-11-01,446.58660888671875
2019-11-04,445.14630126953125
2019-11-05,435.25958251953125
2019-11-06,433.2090148925781
2019-11-07,444.6336669921875
2019-11-08,464.1385803222656
2019-11-11,455.863037109375
2019-11-13,450.858642578125
2019-11-14,443.4130859375
2019-11-15,450.687744140625
2019-11-18,454.03216552734375
2019-11-19,458.8412170410156
2019-11-20,458.9877014160156
2019-11-21,460.1838684082031
2019-11-22,452.1280517578125
2019-11-25,453.1044921875
