Date,PGHH
2016-03-31,5273.31298828125
2016-04-01,5207.7353515625
2016-04-04,5274.99072265625
2016-04-05,5288.03857421875
2016-04-06,5328.52734375
2016-04-07,5359.02978515625
2016-04-08,5375.47705078125
2016-04-11,5448.60693359375
2016-04-12,5470.88623046875
2016-04-13,5476.5927734375
2016-04-18,5458.59228515625
2016-04-20,5444.8740234375
2016-04-21,5440.76025390625
2016-04-22,5442.52294921875
2016-04-25,5372.12060546875
2016-04-26,5394.2724609375
2016-04-27,5390.2861328125
2016-04-28,5315.77294921875
2016-04-29,5298.61279296875
2016-05-02,5405.39111328125
2016-05-03,5402.37109375
2016-05-04,5368.47119140625
2016-05-05,5363.56103515625
2016-05-06,5239.201171875
2016-05-09,5315.77294921875
2016-05-10,5345.81298828125
2016-05-11,5398.2587890625
2016-05-12,5451.24951171875
2016-05-13,5472.10302734375
2016-05-16,5388.98681640625
2016-05-17,5404.55322265625
2016-05-18,5405.181640625
2016-05-19,5370.10546875
2016-05-20,5380.470703125
2016-05-23,5353.744140625
2016-05-24,5325.548828125
2016-05-25,5315.26904296875
2016-05-26,5287.5361328125
2016-05-27,5277.759765625
2016-05-30,5207.650390625
2016-05-31,5198.2099609375
2016-06-01,5216.00048828125
2016-06-02,5200.728515625
2016-06-03,5236.349609375
2016-06-06,5198.50390625
2016-06-07,5182.5615234375
2016-06-08,5222.7138671875
2016-06-09,5238.8662109375
2016-06-10,5284.1796875
2016-06-13,5204.9228515625
2016-06-14,5179.8330078125
2016-06-15,5183.14794921875
2016-06-16,5236.4326171875
2016-06-17,5251.24365234375
2016-06-20,5249.5224609375
2016-06-21,5262.27734375
2016-06-22,5212.39208984375
2016-06-23,5233.2021484375
2016-06-24,5228.33544921875
2016-06-27,5218.18115234375
2016-06-28,5146.22607421875
2016-06-29,5188.4345703125
2016-06-30,5255.6083984375
2016-07-01,5240.5859375
2016-07-04,5288.41650390625
2016-07-05,5293.74560546875
2016-07-07,5282.66796875
2016-07-08,5318.248046875
2016-07-11,5310.06591796875
2016-07-12,5273.27099609375
2016-07-13,5208.658203125
2016-07-14,5271.75927734375
2016-07-15,5280.52880859375
2016-07-18,5325.75830078125
2016-07-19,5375.05712890625
2016-07-20,5324.0810546875
2016-07-21,5323.6181640625
2016-07-22,5323.4091796875
2016-07-25,5365.6171875
2016-07-26,5364.568359375
2016-07-27,5284.39013671875
2016-07-28,5390.03564453125
2016-07-29,5530.25537109375
2016-08-01,5470.00537109375
2016-08-02,5456.36865234375
2016-08-03,5371.0712890625
2016-08-04,5329.1982421875
2016-08-05,5343.04443359375
2016-08-08,5604.97802734375
2016-08-09,5761.68798828125
2016-08-10,5705.25634765625
2016-08-11,5758.58203125
2016-08-12,5735.5478515625
2016-08-16,5678.8232421875
2016-08-17,5684.90673828125
2016-08-18,5897.29052734375
2016-08-19,5854.07568359375
2016-08-22,5752.28857421875
2016-08-23,5646.09765625
2016-08-24,5729.2119140625
2016-08-25,5647.52392578125
2016-08-26,5672.2373046875
2016-08-29,5629.859375
2016-08-30,5543.72265625
2016-08-31,5597.888671875
2016-09-01,5460.31201171875
2016-09-02,5533.2333984375
2016-09-06,5538.64599609375
2016-09-07,5539.02392578125
2016-09-08,5536.1279296875
2016-09-09,5522.28369140625
