Date,CARTRADE
2023-08-31,550.0499877929688
2023-09-01,563.9000244140625
2023-09-04,562.0
2023-09-05,580.5999755859375
2023-09-06,603.4000244140625
2023-09-07,599.4000244140625
2023-09-08,598.8499755859375
2023-09-11,603.4000244140625
2023-09-12,559.4000244140625
2023-09-13,567.4500122070312
2023-09-14,584.5
2023-09-15,594.5
2023-09-18,578.5499877929688
2023-09-20,565.2000122070312
2023-09-21,552.6500244140625
2023-09-22,546.1500244140625
2023-09-25,542.0499877929688
2023-09-26,545.4000244140625
2023-09-27,552.2999877929688
2023-09-28,547.25
2023-09-29,550.2999877929688
2023-10-03,584.7999877929688
2023-10-04,581.3499755859375
2023-10-05,596.0
2023-10-06,613.25
2023-10-09,611.5
2023-10-10,628.5
2023-10-11,631.2000122070312
2023-10-12,644.8499755859375
2023-10-13,680.75
2023-10-16,690.9500122070312
2023-10-17,684.4500122070312
2023-10-18,671.6500244140625
2023-10-19,652.0999755859375
2023-10-20,642.25
2023-10-23,616.1500244140625
2023-10-25,643.4000244140625
2023-10-26,644.75
2023-10-27,667.4500122070312
2023-10-30,679.1500244140625
2023-10-31,672.8499755859375
2023-11-01,664.2999877929688
2023-11-02,663.9000244140625
2023-11-03,691.5
2023-11-06,702.9000244140625
2023-11-07,704.4500122070312
2023-11-08,706.1500244140625
2023-11-09,728.5499877929688
2023-11-10,863.75
2023-11-13,855.5999755859375
2023-11-15,852.0999755859375
2023-11-16,858.3499755859375
2023-11-17,821.0499877929688
2023-11-20,821.9500122070312
2023-11-21,800.0
2023-11-22,779.2000122070312
2023-11-23,786.4000244140625
2023-11-24,841.5
2023-11-28,801.75
2023-11-29,782.1500244140625
2023-11-30,765.6500244140625
2023-12-01,777.2999877929688
2023-12-04,766.9000244140625
2023-12-05,748.2999877929688
2023-12-06,721.6500244140625
2023-12-07,728.7000122070312
2023-12-08,730.75
2023-12-11,771.75
2023-12-12,769.4500122070312
2023-12-13,778.7000122070312
2023-12-14,775.5999755859375
2023-12-15,766.75
2023-12-18,767.8499755859375
2023-12-19,767.75
2023-12-20,728.0999755859375
2023-12-21,718.7999877929688
2023-12-22,733.5
2023-12-26,729.0
2023-12-27,725.9000244140625
2023-12-28,710.75
2023-12-29,713.7000122070312
2024-01-01,722.0
2024-01-02,715.3499755859375
2024-01-03,710.9500122070312
2024-01-04,720.5
2024-01-05,716.2000122070312
2024-01-08,711.5
2024-01-09,707.1500244140625
2024-01-10,709.2000122070312
2024-01-11,700.2000122070312
2024-01-12,699.0999755859375
2024-01-15,699.0999755859375
2024-01-16,700.5999755859375
2024-01-17,702.5499877929688
2024-01-18,726.7000122070312
2024-01-19,724.0499877929688
2024-01-23,702.3499755859375
2024-01-24,726.5999755859375
2024-01-25,742.4000244140625
2024-01-29,737.75
2024-01-30,730.2000122070312
2024-01-31,729.4000244140625
2024-02-01,722.6500244140625
2024-02-02,712.2999877929688
2024-02-05,706.8499755859375
2024-02-06,704.5
2024-02-07,708.5499877929688
2024-02-08,695.6500244140625
2024-02-09,691.2999877929688
2024-02-12,690.2999877929688
2024-02-13,692.25
2024-02-14,685.1500244140625
2024-02-15,700.0999755859375
2024-02-16,695.3499755859375
2024-02-19,697.5499877929688
