Date,GODREJPROP
2015-06-17,239.4759979248047
2015-06-18,243.47714233398438
2015-06-19,245.25543212890625
2015-06-22,248.5650177001953
2015-06-23,247.13250732421875
2015-06-24,243.62533569335938
2015-06-25,242.83499145507812
2015-06-26,246.5891571044922
2015-06-29,242.24221801757812
2015-06-30,243.87232971191406
2015-07-01,245.20602416992188
2015-07-02,247.08311462402344
2015-07-03,246.3915557861328
2015-07-06,248.4662322998047
2015-07-07,250.9360809326172
2015-07-08,251.33123779296875
2015-07-09,245.8481903076172
2015-07-10,248.7132110595703
2015-07-13,250.9854736328125
2015-07-14,250.63967895507812
2015-07-15,252.26979064941406
2015-07-16,267.3852233886719
2015-07-17,266.5948791503906
2015-07-20,271.33697509765625
2015-07-21,269.90447998046875
2015-07-22,266.84185791015625
2015-07-23,266.84185791015625
2015-07-24,271.139404296875
2015-07-27,267.00933837890625
2015-07-28,256.8584289550781
2015-07-29,258.8985595703125
2015-07-30,260.83917236328125
2015-07-31,266.8103332519531
2015-08-03,265.7156066894531
2015-08-04,259.9932556152344
2015-08-05,262.5309753417969
2015-08-06,282.7831115722656
2015-08-07,282.18597412109375
2015-08-10,301.243896484375
2015-08-11,307.86187744140625
2015-08-12,293.6804504394531
2015-08-13,294.57611083984375
2015-08-14,304.37872314453125
2015-08-17,317.96307373046875
2015-08-18,330.60198974609375
2015-08-19,342.7432861328125
2015-08-20,325.1781921386719
2015-08-21,308.0609130859375
2015-08-24,288.10736083984375
2015-08-25,287.2117004394531
2015-08-26,291.2422180175781
2015-08-27,295.1732177734375
2015-08-28,288.60498046875
2015-08-31,307.9116516113281
2015-09-01,292.4862060546875
2015-09-02,293.8297119140625
2015-09-03,301.14434814453125
2015-09-04,292.5359802246094
2015-09-07,289.0030517578125
2015-09-08,283.23095703125
2015-09-09,291.09295654296875
2015-09-10,283.92755126953125
2015-09-11,286.76385498046875
2015-09-14,292.7847900390625
2015-09-15,311.49432373046875
2015-09-16,306.91644287109375
2015-09-18,320.6998291015625
2015-09-21,322.14288330078125
2015-09-22,313.6837463378906
2015-09-23,313.1363830566406
2015-09-24,318.2615966796875
2015-09-28,311.1957702636719
2015-09-29,304.52801513671875
2015-09-30,327.5168762207031
2015-10-01,318.7591857910156
2015-10-05,319.30657958984375
2015-10-06,322.49114990234375
2015-10-07,337.219970703125
2015-10-08,342.593994140625
2015-10-09,338.2649230957031
2015-10-12,335.4783935546875
2015-10-13,332.8908996582031
2015-10-14,334.6324768066406
2015-10-15,341.20074462890625
2015-10-16,343.8379821777344
2015-10-19,360.0595703125
2015-10-20,362.0499572753906
2015-10-21,351.40142822265625
2015-10-23,357.3227844238281
2015-10-26,359.6614990234375
2015-10-27,358.3677673339844
2015-10-28,350.655029296875
2015-10-29,348.7641906738281
2015-10-30,341.84759521484375
2015-11-02,345.1814880371094
2015-11-03,346.3259582519531
