date,NIFTY CONSUMER DURABLES
2009-03-03,901.37
2009-03-04,893.52
2009-03-05,892.98
2009-03-06,892.4
2009-03-09,884.84
2009-03-12,882.12
2009-03-13,899.07
2009-03-16,928.62
2009-03-17,929.0
2009-03-18,945.76
2009-03-19,952.57
2009-03-20,955.93
2009-03-23,976.38
2009-03-24,960.17
2009-03-25,968.45
2009-03-26,1000.9
2009-03-27,1019.84
2009-03-30,1009.69
2009-03-31,1018.18
2009-04-01,1048.8
2009-04-02,1077.44
2009-04-06,1131.6
2009-04-08,1176.74
2009-04-09,1216.43
2009-04-13,1194.95
2009-04-15,1217.55
2009-04-16,1169.55
2009-04-17,1156.42
2009-04-20,1173.15
2009-04-21,1175.93
2009-04-22,1133.3
2009-04-23,1133.95
2009-04-24,1162.5
2009-04-27,1142.13
2009-04-28,1105.63
2009-04-29,1126.26
2009-05-04,1171.89
2009-05-05,1187.78
2009-05-06,1213.84
2009-05-07,1249.54
2009-05-08,1259.75
2009-05-11,1231.17
2009-05-12,1248.61
2009-05-13,1244.83
2009-05-14,1246.82
2009-05-15,1269.18
2009-05-18,1410.15
2009-05-19,1433.92
2009-05-20,1573.14
2009-05-21,1589.15
2009-05-22,1586.15
2009-05-25,1684.66
2009-05-26,1630.71
2009-05-27,1687.79
2009-05-28,1682.12
2009-05-29,1742.39
2009-06-01,1797.41
2009-06-02,1841.19
2009-06-03,1895.38
2009-06-04,1907.53
2009-06-05,1901.97
2009-06-08,1810.45
2009-06-09,1872.28
2009-06-10,1934.12
2009-06-11,1920.94
2009-06-12,1878.32
2009-06-15,1841.71
2009-06-16,1873.61
2009-06-17,1803.59
2009-06-18,1753.18
2009-06-19,1769.86
2009-06-22,1748.38
2009-06-23,1738.08
2009-06-24,1749.87
2009-06-25,1733.41
2009-06-26,1797.67
2009-06-29,1853.39
2009-06-30,1809.31
2009-07-01,1803.25
2009-07-02,1840.12
2009-07-03,1826.7
2009-07-06,1778.65
2009-07-07,1790.24
2009-07-08,1726.84
2009-07-09,1715.11
2009-07-10,1686.14
2009-07-13,1608.77
2009-07-14,1690.96
2009-07-15,1747.96
2009-07-16,1770.66
2009-07-17,1800.31
2009-07-20,1827.35
2009-07-21,1833.21
2009-07-22,1829.07
2009-07-23,1888.63
2009-07-24,1945.74
2009-07-27,1951.58
2009-07-28,1947.78
2009-07-29,1895.93
2009-07-30,1895.3
2009-07-31,1921.21
2009-08-03,1914.88
2009-08-04,1943.01
2009-08-05,1972.2
2009-08-06,1930.18
2009-08-07,1866.77
2009-08-10,1826.75
2009-08-11,1832.44
2009-08-12,1843.26
2009-08-13,1904.17
2009-08-14,1932.29
2009-08-17,1850.83
2009-08-18,1870.42
2009-08-19,1851.03
2009-08-20,1876.09
2009-08-21,1894.23
2009-08-24,1958.21
2009-08-25,1985.91
2009-08-26,1983.71
2009-08-27,2049.71
2009-08-28,2045.65
2009-08-31,2065.87
2009-09-01,2034.99
2009-09-02,2032.9
2009-09-03,2058.99
2009-09-04,2056.73
2009-09-07,2100.85
2009-09-08,2095.29
2009-09-09,2090.48
2009-09-10,2059.36
2009-09-11,2084.83
2009-09-14,2073.14
2009-09-15,2107.04
2009-09-16,2140.53
2009-09-17,2152.81
2009-09-18,2166.06
2009-09-22,2179.65
2009-09-23,2152.89
2009-09-24,2140.82
2009-09-25,2158.74
2009-09-29,2182.8
2009-09-30,2179.26
2009-10-01,2157.23
2009-10-05,2142.09
2009-10-06,2135.32
2009-10-07,2215.05
2009-10-08,2239.62
2009-10-09,2237.8
2009-10-12,2291.88
2009-10-14,2318.31
2009-10-15,2308.29
2009-10-16,2302.18
2009-10-17,2319.25
2009-10-20,2303.0
2009-10-21,2286.03
2009-10-22,2224.59
2009-10-23,2229.4
2009-10-26,2180.87
2009-10-27,2121.48
2009-10-28,2089.64
2009-10-29,2070.58
2009-10-30,2063.5
2009-11-03,1987.62
