date,NIFTY FMCG
1998-10-07,2300.41
1998-10-08,2274.14
1998-10-09,2296.77
1998-10-12,2279.77
1998-10-13,2243.65
1998-10-14,2267.92
1998-10-15,2263.22
1998-10-16,2278.06
1998-10-19,2273.45
1998-10-20,2216.83
1998-10-22,2195.05
1998-10-23,2210.21
1998-10-26,2234.34
1998-10-27,2254.39
1998-10-28,2230.74
1998-10-29,2243.14
1998-10-30,2217.79
1998-10-31,2214.54
1998-11-02,2220.34
1998-11-03,2239.19
1998-11-05,2239.09
1998-11-06,2245.78
1998-11-09,2267.11
1998-11-10,2269.63
1998-11-11,2275.16
1998-11-12,2276.37
1998-11-13,2263.4
1998-11-16,2243.37
1998-11-17,2242.36
1998-11-18,2264.02
1998-11-19,2246.43
1998-11-20,2231.97
1998-11-21,2230.28
1998-11-23,2224.29
1998-11-24,2208.05
1998-11-26,2196.46
1998-11-27,2179.74
1998-11-28,2174.53
1998-11-30,2201.06
1998-12-01,2196.67
1998-12-02,2195.3
1998-12-03,2195.19
1998-12-04,2239.32
1998-12-07,2281.47
1998-12-08,2280.0
1998-12-09,2321.05
1998-12-10,2368.35
1998-12-11,2391.9
1998-12-14,2380.4
1998-12-15,2320.5
1998-12-16,2336.57
1998-12-17,2290.82
1998-12-18,2300.1
1998-12-21,2354.94
1998-12-22,2333.26
1998-12-23,2328.59
1998-12-24,2327.45
1998-12-28,2367.6
1998-12-29,2323.43
1998-12-30,2422.36
1998-12-31,2384.98
1999-01-01,2393.74
1999-01-04,2425.61
1999-01-05,2443.05
1999-01-06,2524.26
1999-01-07,2553.07
1999-01-08,2611.4
1999-01-11,2573.29
1999-01-12,2512.96
1999-01-13,2508.7
1999-01-14,2503.72
1999-01-15,2475.6
1999-01-18,2524.37
1999-01-19,2480.59
1999-01-21,2585.8
1999-01-22,2553.84
1999-01-25,2556.74
1999-01-27,2626.41
1999-01-28,2619.41
1999-01-29,2712.24
1999-02-01,2662.2
1999-02-02,2657.81
1999-02-03,2710.16
1999-02-04,2688.41
1999-02-05,2681.95
1999-02-08,2662.67
1999-02-09,2677.67
1999-02-10,2821.39
1999-02-11,2828.11
1999-02-12,2847.42
1999-02-15,2789.32
1999-02-16,2778.2
1999-02-17,2785.6
1999-02-18,2755.03
1999-02-19,2752.52
1999-02-22,2712.72
1999-02-23,2691.06
1999-02-24,2689.65
1999-02-25,2661.24
1999-02-26,2593.14
1999-02-27,2766.89
1999-03-01,2919.35
1999-03-03,3003.49
1999-03-04,3004.63
1999-03-05,3028.16
1999-03-08,3046.33
1999-03-09,3072.99
1999-03-10,3100.33
1999-03-11,3087.16
1999-03-12,3107.0
1999-03-15,3128.87
1999-03-16,3112.5
1999-03-17,3150.07
1999-03-18,3168.95
1999-03-19,3133.73
1999-03-20,3132.11
1999-03-22,3118.08
1999-03-23,3141.71
1999-03-24,3130.78
1999-03-25,3111.01
1999-03-26,3085.74
1999-03-30,3160.49
1999-03-31,3190.39
1999-04-01,3140.54
1999-04-05,3019.08
1999-04-06,3103.06
1999-04-07,3113.11
1999-04-08,3084.23
1999-04-09,3050.59
1999-04-12,3078.03
1999-04-13,3055.78
1999-04-15,2973.05
1999-04-16,3210.86
