date,NIFTY POWER
2008-09-04,2312.03
2008-09-05,2280.95
2008-09-08,2369.39
2008-09-09,2352.14
2008-09-10,2320.04
2008-09-11,2262.47
2008-09-12,2241.48
2008-09-15,2120.82
2008-09-16,2133.64
2008-09-17,2095.48
2008-09-18,2097.83
2008-09-19,2212.99
2008-09-22,2178.81
2008-09-23,2149.26
2008-09-24,2168.58
2008-09-25,2155.76
2008-09-26,2101.84
2008-09-29,1992.24
2008-09-30,2003.64
2008-10-01,2043.35
2008-10-03,1995.63
2008-10-06,1880.05
2008-10-07,1926.36
2008-10-08,1895.03
2008-10-10,1757.35
2008-10-13,1858.08
2008-10-14,1848.46
2008-10-15,1770.08
2008-10-16,1739.02
2008-10-17,1612.26
2008-10-20,1611.37
2008-10-21,1661.32
2008-10-22,1572.71
2008-10-23,1516.66
2008-10-24,1344.88
2008-10-27,1267.31
2008-10-28,1350.97
2008-10-29,1379.05
2008-10-31,1465.88
2008-11-03,1559.11
2008-11-04,1646.62
2008-11-05,1589.21
2008-11-06,1533.55
2008-11-07,1630.55
2008-11-10,1728.71
2008-11-11,1630.23
2008-11-12,1577.11
2008-11-14,1564.56
2008-11-17,1558.27
2008-11-18,1474.4
2008-11-19,1442.13
2008-11-20,1415.35
2008-11-21,1502.08
2008-11-24,1546.18
2008-11-25,1522.81
2008-11-26,1577.36
2008-11-28,1543.99
2008-12-01,1509.49
2008-12-02,1517.21
2008-12-03,1532.73
2008-12-04,1603.55
2008-12-05,1570.95
2008-12-08,1614.59
2008-12-10,1660.39
2008-12-11,1663.76
2008-12-12,1659.65
2008-12-15,1692.06
2008-12-16,1748.62
2008-12-17,1681.05
2008-12-18,1771.1
2008-12-19,1799.75
2008-12-22,1792.65
2008-12-23,1762.0
2008-12-24,1717.51
2008-12-26,1695.9
2008-12-29,1718.05
2008-12-30,1757.1
2008-12-31,1760.98
2009-01-01,1814.44
2009-01-02,1828.07
2009-01-05,1860.02
2009-01-06,1827.64
2009-01-07,1705.05
2009-01-09,1672.4
2009-01-12,1610.93
2009-01-13,1582.47
2009-01-14,1632.79
2009-01-15,1587.01
2009-01-16,1670.6
2009-01-19,1681.55
2009-01-20,1768.02
2009-01-21,1676.44
2009-01-22,1664.66
2009-01-23,1662.33
2009-01-27,1734.5
2009-01-28,1761.81
2009-01-29,1762.15
2009-01-30,1780.37
2009-02-02,1694.06
2009-02-03,1692.78
2009-02-04,1695.09
2009-02-05,1687.54
2009-02-06,1725.27
2009-02-09,1758.55
2009-02-10,1754.19
2009-02-11,1752.05
2009-02-12,1771.93
2009-02-13,1813.78
2009-02-16,1733.71
2009-02-17,1678.23
2009-02-18,1685.41
2009-02-19,1699.25
2009-02-20,1666.86
2009-02-24,1689.35
2009-02-25,1703.83
2009-02-26,1712.76
2009-02-27,1725.29
2009-03-02,1664.7
2009-03-03,1625.49
2009-03-04,1639.19
2009-03-05,1607.48
2009-03-06,1626.15
2009-03-09,1594.79
2009-03-12,1600.31
2009-03-13,1652.16
2009-03-16,1674.58
2009-03-17,1687.53
2009-03-18,1688.14
2009-03-19,1696.37
2009-03-20,1696.93
2009-03-23,1761.71
2009-03-24,1740.89
2009-03-25,1758.3
2009-03-26,1807.48
2009-03-27,1835.64
2009-03-30,1765.29
2009-03-31,1778.2
2009-04-01,1793.64
2009-04-02,1872.65
2009-04-06,1907.46
2009-04-08,1974.44
2009-04-09,1990.16
2009-04-13,2015.86
2009-04-15,2088.98
2009-04-16,1988.78
2009-04-17,2000.31
2009-04-20,2020.73
2009-04-21,2019.15
2009-04-22,2009.78
2009-04-23,2061.58
2009-04-24,2109.04
2009-04-27,2051.76
2009-04-28,1969.31
2009-04-29,2004.76
2009-05-04,2071.01
2009-05-05,2115.8
2009-05-06,2124.58
2009-05-07,2133.85
2009-05-08,2124.07
2009-05-11,2087.53
2009-05-12,2142.47
2009-05-13,2103.8
2009-05-14,2099.32
2009-05-15,2116.43
2009-05-18,2440.48
2009-05-19,2539.67
2009-05-20,2647.03
2009-05-21,2624.85
2009-05-22,2648.92
2009-05-25,2687.48
2009-05-26,2570.05
2009-05-27,2731.94
2009-05-28,2753.67
2009-05-29,2786.2
2009-06-01,2866.77
2009-06-02,2807.98
2009-06-03,2823.66
2009-06-04,2898.58
2009-06-05,2851.07
2009-06-08,2726.98
2009-06-09,2785.97
2009-06-10,2882.6
2009-06-11,2880.41
2009-06-12,2830.81
2009-06-15,2838.64
2009-06-16,2899.86
2009-06-17,2784.56
2009-06-18,2665.29
2009-06-19,2672.47
2009-06-22,2589.97
2009-06-23,2635.64
2009-06-24,2679.59
2009-06-25,2634.57
2009-06-26,2693.14
2009-06-29,2698.91
2009-06-30,2623.57
2009-07-01,2654.93
2009-07-02,2698.33
2009-07-03,2757.03
2009-07-06,2554.1
2009-07-07,2567.49
2009-07-08,2493.94
2009-07-09,2508.83
2009-07-10,2448.68
2009-07-13,2386.33
2009-07-14,2495.91
2009-07-15,2615.56
2009-07-16,2609.5
2009-07-17,2670.02
2009-07-20,2674.01
2009-07-21,2640.33
2009-07-22,2608.5
2009-07-23,2704.46
2009-07-24,2736.55
2009-07-27,2800.04
2009-07-28,2832.53
2009-07-29,2801.35
2009-07-30,2819.45
2009-07-31,2819.04
2009-08-03,2853.74
2009-08-04,2813.56
2009-08-05,2827.17
2009-08-06,2769.21
2009-08-07,2722.65
2009-08-10,2689.74
2009-08-11,2704.74
2009-08-12,2689.78
2009-08-13,2757.85
2009-08-14,2746.21
2009-08-17,2636.89
2009-08-18,2681.62
